case,solver,keff,std,keff_2sigma,status,execution_time,enrichment,height_cm,radius_cm,reflector_material,reflector_thickness_cm,uf6_density,wall_material,wall_thickness_cm
case_1,openmc,0.02139,0.00002,0.02144,SAFE,3.2,20.0,100.0,1.393,air,30.0,5.09,aluminum,0.277
case_2,openmc,0.02806,0.00003,0.02813,SAFE,4.2,20.0,100.0,1.831,air,30.0,5.09,aluminum,0.277
case_3,openmc,0.03282,0.00004,0.03290,SAFE,3.1,20.0,100.0,2.136,air,30.0,5.09,aluminum,0.277
case_4,openmc,0.04227,0.00005,0.04237,SAFE,2.7,20.0,100.0,2.739,air,30.0,5.09,aluminum,0.277
case_5,openmc,0.05190,0.00005,0.05201,SAFE,3.5,20.0,100.0,3.346,air,30.0,5.09,aluminum,0.277
case_6,openmc,0.06503,0.00007,0.06517,SAFE,3.4,20.0,100.0,4.14,air,30.0,5.09,aluminum,0.277
case_7,openmc,0.07563,0.00007,0.07577,SAFE,3.6,20.0,100.0,4.775,air,30.0,5.09,aluminum,0.277
case_8,openmc,0.08675,0.00009,0.08693,SAFE,3.6,20.0,100.0,5.41,air,30.0,5.09,aluminum,0.277
case_9,openmc,0.11123,0.00010,0.11142,SAFE,4.6,20.0,100.0,6.725,air,30.0,5.09,aluminum,0.277
case_10,openmc,0.13793,0.00012,0.13818,SAFE,5.7,20.0,100.0,8.073,air,30.0,5.09,aluminum,0.277
case_11,openmc,0.19282,0.00018,0.19319,SAFE,5.8,20.0,100.0,10.578,air,30.0,5.09,aluminum,0.277
case_1,mcnp,0.02144,0.00003,0.02150,SAFE,4.3,20.0,100.0,1.393,air,30.0,5.09,aluminum,0.277
case_2,mcnp,0.02815,0.00003,0.02821,SAFE,4.1,20.0,100.0,1.831,air,30.0,5.09,aluminum,0.277
case_3,mcnp,0.03288,0.00003,0.03294,SAFE,4.2,20.0,100.0,2.136,air,30.0,5.09,aluminum,0.277
case_4,mcnp,0.04219,0.00004,0.04227,SAFE,4.2,20.0,100.0,2.739,air,30.0,5.09,aluminum,0.277
case_5,mcnp,0.05196,0.00005,0.05206,SAFE,4.2,20.0,100.0,3.346,air,30.0,5.09,aluminum,0.277
case_6,mcnp,0.06494,0.00007,0.06508,SAFE,4.2,20.0,100.0,4.14,air,30.0,5.09,aluminum,0.277
case_7,mcnp,0.07572,0.00007,0.07586,SAFE,6.2,20.0,100.0,4.775,air,30.0,5.09,aluminum,0.277
case_8,mcnp,0.08690,0.00008,0.08706,SAFE,6.2,20.0,100.0,5.41,air,30.0,5.09,aluminum,0.277
case_9,mcnp,0.11114,0.00010,0.11134,SAFE,6.2,20.0,100.0,6.725,air,30.0,5.09,aluminum,0.277
case_10,mcnp,0.13797,0.00011,0.13819,SAFE,6.2,20.0,100.0,8.073,air,30.0,5.09,aluminum,0.277
case_11,mcnp,0.19295,0.00014,0.19323,SAFE,8.2,20.0,100.0,10.578,air,30.0,5.09,aluminum,0.277
case_1,openmc,0.23722,0.00057,0.23835,SAFE,30.9,20.0,100.0,1.393,water,30.0,5.09,aluminum,0.277
case_2,openmc,0.28087,0.00071,0.28229,SAFE,29.8,20.0,100.0,1.831,water,30.0,5.09,aluminum,0.277
case_3,openmc,0.30508,0.00065,0.30639,SAFE,28.3,20.0,100.0,2.136,water,30.0,5.09,aluminum,0.277
case_4,openmc,0.34985,0.00081,0.35148,SAFE,31.4,20.0,100.0,2.739,water,30.0,5.09,aluminum,0.277
case_5,openmc,0.38724,0.00072,0.38868,SAFE,30.4,20.0,100.0,3.346,water,30.0,5.09,aluminum,0.277
case_6,openmc,0.42925,0.00086,0.43096,SAFE,24.5,20.0,100.0,4.14,water,30.0,5.09,aluminum,0.277
case_7,openmc,0.45958,0.00079,0.46116,SAFE,28.2,20.0,100.0,4.775,water,30.0,5.09,aluminum,0.277
case_8,openmc,0.48554,0.00084,0.48721,SAFE,27.4,20.0,100.0,5.41,water,30.0,5.09,aluminum,0.277
case_9,openmc,0.53176,0.00076,0.53327,SAFE,24.5,20.0,100.0,6.725,water,30.0,5.09,aluminum,0.277
case_10,openmc,0.57446,0.00085,0.57617,SAFE,22.8,20.0,100.0,8.073,water,30.0,5.09,aluminum,0.277
case_11,openmc,0.63842,0.00091,0.64024,SAFE,22.6,20.0,100.0,10.578,water,30.0,5.09,aluminum,0.277
case_1,mcnp,0.23613,0.00051,0.23715,SAFE,97.7,20.0,100.0,1.393,water,30.0,5.09,aluminum,0.277
case_2,mcnp,0.27982,0.00062,0.28106,SAFE,95.6,20.0,100.0,1.831,water,30.0,5.09,aluminum,0.277
case_3,mcnp,0.30470,0.00058,0.30586,SAFE,95.7,20.0,100.0,2.136,water,30.0,5.09,aluminum,0.277
case_4,mcnp,0.34924,0.00060,0.35044,SAFE,91.7,20.0,100.0,2.739,water,30.0,5.09,aluminum,0.277
case_5,mcnp,0.38619,0.00062,0.38743,SAFE,93.5,20.0,100.0,3.346,water,30.0,5.09,aluminum,0.277
case_6,mcnp,0.42862,0.00066,0.42994,SAFE,85.4,20.0,100.0,4.14,water,30.0,5.09,aluminum,0.277
case_7,mcnp,0.45784,0.00068,0.45920,SAFE,87.7,20.0,100.0,4.775,water,30.0,5.09,aluminum,0.277
case_8,mcnp,0.48603,0.00070,0.48743,SAFE,83.4,20.0,100.0,5.41,water,30.0,5.09,aluminum,0.277
case_9,mcnp,0.53302,0.00064,0.53430,SAFE,83.3,20.0,100.0,6.725,water,30.0,5.09,aluminum,0.277
