case,solver,keff,std,keff_2sigma,status,execution_time,boundary_type,cols,enrichment,environment_material,fill_fraction,fissile_density,fissile_material,gap_xy_cm,gap_z_cm,h_to_u_ratio,height_cm,layers,radius_cm,reflector_thickness_cm,rows,void_material,wall_material,wall_thickness_cm
case_1,openmc,1.38584,0.00061,1.38706,CRITICAL,102.7,reflective,4,21,humid_air,1.0,5.09,uo2f2,12.7,7.62,0,100.0,5,12.7,6.35,3,humid_air,steel,0.3175
case_2,openmc,1.51910,0.00081,1.52072,CRITICAL,77.2,reflective,4,21,humid_air,1.0,5.09,uo2f2,12.7,7.62,5,100.0,5,12.7,6.35,3,humid_air,steel,0.3175
case_3,openmc,1.60136,0.00079,1.60295,CRITICAL,59.4,reflective,4,21,humid_air,1.0,5.09,uo2f2,12.7,7.62,10,100.0,5,12.7,6.35,3,humid_air,steel,0.3175
case_4,openmc,1.63649,0.00081,1.63812,CRITICAL,66.4,reflective,4,21,humid_air,1.0,5.09,uo2f2,12.7,7.62,15,100.0,5,12.7,6.35,3,humid_air,steel,0.3175
case_5,openmc,1.64797,0.00075,1.64947,CRITICAL,66.1,reflective,4,21,humid_air,1.0,5.09,uo2f2,12.7,7.62,20,100.0,5,12.7,6.35,3,humid_air,steel,0.3175
case_6,openmc,1.65007,0.00084,1.65175,CRITICAL,77.6,reflective,4,21,humid_air,1.0,5.09,uo2f2,12.7,7.62,25,100.0,5,12.7,6.35,3,humid_air,steel,0.3175
case_7,openmc,1.64730,0.00089,1.64907,CRITICAL,53.8,reflective,4,21,humid_air,1.0,5.09,uo2f2,12.7,7.62,30,100.0,5,12.7,6.35,3,humid_air,steel,0.3175
case_8,openmc,1.62743,0.00084,1.62912,CRITICAL,67.3,reflective,4,21,humid_air,1.0,5.09,uo2f2,12.7,7.62,40,100.0,5,12.7,6.35,3,humid_air,steel,0.3175
case_9,openmc,1.60386,0.00076,1.60539,CRITICAL,43.8,reflective,4,21,humid_air,1.0,5.09,uo2f2,12.7,7.62,50,100.0,5,12.7,6.35,3,humid_air,steel,0.3175
case_10,openmc,1.52891,0.00075,1.53041,CRITICAL,44.1,reflective,4,21,humid_air,1.0,5.09,uo2f2,12.7,7.62,75,100.0,5,12.7,6.35,3,humid_air,steel,0.3175
case_11,openmc,1.45425,0.00082,1.45588,CRITICAL,32.8,reflective,4,21,humid_air,1.0,5.09,uo2f2,12.7,7.62,100,100.0,5,12.7,6.35,3,humid_air,steel,0.3175
