case,solver,keff,std,keff_2sigma,status,execution_time,enrichment,gap_cm,length_cm,num_pipes,pipe_size,uf6_density,wall_material,water_density,water_thickness_cm
case_1,openmc,0.50147,0.00084,0.50315,SAFE,26.1,20,2,200,3,3,5.09,ss304,0.5,30
case_2,openmc,0.50717,0.00082,0.50882,SAFE,28.5,20,4,200,3,3,5.09,ss304,0.5,30
case_3,openmc,0.49847,0.00089,0.50026,SAFE,27.9,20,6,200,3,3,5.09,ss304,0.5,30
case_4,openmc,0.56904,0.00087,0.57078,SAFE,29.3,20,2,200,3,4,5.09,ss304,0.5,30
case_5,openmc,0.57560,0.00085,0.57731,SAFE,29.2,20,4,200,3,4,5.09,ss304,0.5,30
case_6,openmc,0.56433,0.00095,0.56623,SAFE,29.4,20,6,200,3,4,5.09,ss304,0.5,30
case_7,openmc,0.61995,0.00091,0.62178,SAFE,29.2,20,2,200,3,5,5.09,ss304,0.5,30
case_8,openmc,0.62570,0.00092,0.62754,SAFE,29.8,20,4,200,3,5,5.09,ss304,0.5,30
case_9,openmc,0.61265,0.00090,0.61445,SAFE,27.3,20,6,200,3,5,5.09,ss304,0.5,30
case_10,openmc,0.67110,0.00092,0.67295,SAFE,26.4,20,2,200,3,6,5.09,ss304,0.5,30
case_11,openmc,0.67498,0.00090,0.67678,SAFE,26.3,20,4,200,3,6,5.09,ss304,0.5,30
case_12,openmc,0.66489,0.00094,0.66676,SAFE,26.4,20,6,200,3,6,5.09,ss304,0.5,30
case_13,openmc,0.51581,0.00090,0.51761,SAFE,28.0,24,2,200,3,3,5.09,ss304,0.5,30
case_14,openmc,0.52067,0.00086,0.52240,SAFE,27.5,24,4,200,3,3,5.09,ss304,0.5,30
case_15,openmc,0.51263,0.00095,0.51453,SAFE,28.5,24,6,200,3,3,5.09,ss304,0.5,30
case_16,openmc,0.58554,0.00087,0.58729,SAFE,29.5,24,2,200,3,4,5.09,ss304,0.5,30
case_17,openmc,0.58978,0.00089,0.59155,SAFE,29.0,24,4,200,3,4,5.09,ss304,0.5,30
case_18,openmc,0.58032,0.00085,0.58202,SAFE,30.0,24,6,200,3,4,5.09,ss304,0.5,30
case_19,openmc,0.64148,0.00088,0.64325,SAFE,26.8,24,2,200,3,5,5.09,ss304,0.5,30
case_20,openmc,0.64418,0.00092,0.64601,SAFE,27.0,24,4,200,3,5,5.09,ss304,0.5,30
case_21,openmc,0.63257,0.00086,0.63428,SAFE,27.0,24,6,200,3,5,5.09,ss304,0.5,30
case_22,openmc,0.69224,0.00080,0.69383,SAFE,29.4,24,2,200,3,6,5.09,ss304,0.5,30
case_23,openmc,0.69363,0.00099,0.69561,SAFE,27.5,24,4,200,3,6,5.09,ss304,0.5,30
case_24,openmc,0.68344,0.00103,0.68551,SAFE,27.5,24,6,200,3,6,5.09,ss304,0.5,30
