case,solver,keff,std,keff_2sigma,status,execution_time,boundary_thickness_cm,cols,enrichment,environment,height_cm,pitch_cm,radius_cm,rows,uf6_density,wall_material,wall_thickness_cm
case_1,openmc,0.39875,0.00041,0.39957,SAFE,6.4,30.0,4,20.0,air,100.0,7.62,12.7,2,5.09,steel,0.3175
case_2,openmc,0.39285,0.00039,0.39363,SAFE,6.3,30.0,4,20.0,air,100.0,8,12.7,2,5.09,steel,0.3175
case_3,openmc,0.37220,0.00039,0.37297,SAFE,6.4,30.0,4,20.0,air,100.0,10,12.7,2,5.09,steel,0.3175
case_4,openmc,0.35532,0.00037,0.35606,SAFE,6.3,30.0,4,20.0,air,100.0,12,12.7,2,5.09,steel,0.3175
case_5,openmc,0.34310,0.00033,0.34377,SAFE,12.4,30.0,4,20.0,air,100.0,14,12.7,2,5.09,steel,0.3175
case_6,openmc,0.33251,0.00032,0.33315,SAFE,15.8,30.0,4,20.0,air,100.0,16,12.7,2,5.09,steel,0.3175
case_7,openmc,0.32460,0.00035,0.32530,SAFE,16.0,30.0,4,20.0,air,100.0,17.78,12.7,2,5.09,steel,0.3175
case_8,openmc,0.31584,0.00033,0.31650,SAFE,11.3,30.0,4,20.0,air,100.0,20,12.7,2,5.09,steel,0.3175
case_1,openmc,0.77662,0.00086,0.77833,SAFE,48.5,30.0,4,20.0,water,100.0,7.62,12.7,2,5.09,steel,0.3175
case_2,openmc,0.76379,0.00095,0.76569,SAFE,31.6,30.0,4,20.0,water,100.0,8,12.7,2,5.09,steel,0.3175
case_3,openmc,0.71491,0.00087,0.71665,SAFE,28.1,30.0,4,20.0,water,100.0,10,12.7,2,5.09,steel,0.3175
case_4,openmc,0.68482,0.00086,0.68655,SAFE,28.0,30.0,4,20.0,water,100.0,12,12.7,2,5.09,steel,0.3175
case_5,openmc,0.66630,0.00090,0.66809,SAFE,29.4,30.0,4,20.0,water,100.0,14,12.7,2,5.09,steel,0.3175
case_6,openmc,0.65515,0.00082,0.65678,SAFE,29.3,30.0,4,20.0,water,100.0,16,12.7,2,5.09,steel,0.3175
