fill_z_cm,source_z_cm,solver,keff,std,status,artifact_dir
10.0,5.0,mcnp,0.99269,0.00096,OK,/mnt/c/Users/AndyLee/Projects/crit-buddy/studies/centrifuge-unit-cell-parity/mcnp/fill_10
10.0,10.0,openmc,0.99294,0.00120,MARGINAL,/mnt/c/Users/AndyLee/Projects/crit-buddy/studies/centrifuge-unit-cell-parity/openmc/runs/study/2026-03-16_16-14-41
20.0,10.0,mcnp,1.20945,0.00093,OK,/mnt/c/Users/AndyLee/Projects/crit-buddy/studies/centrifuge-unit-cell-parity/mcnp/fill_20
20.0,10.0,openmc,1.21101,0.00112,CRITICAL,/mnt/c/Users/AndyLee/Projects/crit-buddy/studies/centrifuge-unit-cell-parity/openmc/runs/study/2026-03-16_16-14-41
30.0,10.0,mcnp,1.30067,0.00084,OK,/mnt/c/Users/AndyLee/Projects/crit-buddy/studies/centrifuge-unit-cell-parity/mcnp/fill_30
30.0,10.0,openmc,1.30184,0.00112,CRITICAL,/mnt/c/Users/AndyLee/Projects/crit-buddy/studies/centrifuge-unit-cell-parity/openmc/runs/study/2026-03-16_16-14-41
40.0,10.0,mcnp,1.35134,0.00095,OK,/mnt/c/Users/AndyLee/Projects/crit-buddy/studies/centrifuge-unit-cell-parity/mcnp/fill_40
40.0,10.0,openmc,1.35319,0.00108,CRITICAL,/mnt/c/Users/AndyLee/Projects/crit-buddy/studies/centrifuge-unit-cell-parity/openmc/runs/study/2026-03-16_16-14-41
50.0,10.0,mcnp,1.38045,0.00089,OK,/mnt/c/Users/AndyLee/Projects/crit-buddy/studies/centrifuge-unit-cell-parity/mcnp/fill_50
50.0,10.0,openmc,1.38309,0.00110,CRITICAL,/mnt/c/Users/AndyLee/Projects/crit-buddy/studies/centrifuge-unit-cell-parity/openmc/runs/study/2026-03-16_16-14-41
