enrichment_wt_pct,h_over_x,h_to_u_reported,h_to_u_exact,uranium_density_g_cm3,uo2f2_component_density_g_cm3,h2o_component_density_g_cm3,bulk_density_g_cm3
20.0,5,1.010,1.010209,4.6367,6.0034,0.17770,6.18110
20.0,10,2.020,2.020417,4.3135,5.5849,0.33062,5.91552
20.0,20,4.041,4.040834,3.2684,4.2317,0.50103,4.73273
20.0,50,10.10,10.102086,1.8646,2.4142,0.71461,3.12881
20.0,100,20.20,20.204171,1.0867,1.4070,0.83296,2.23996
20.0,200,40.41,40.408342,0.59242,0.76703,0.90817,1.67520
20.0,300,60.61,60.612514,0.40720,0.52722,0.93635,1.46357
20.0,500,101.0,101.020856,0.25054,0.32439,0.96018,1.28457
20.0,700,141.4,141.429198,0.18093,0.23426,0.97077,1.20503
20.0,1000,202.0,202.041712,0.12771,0.16535,0.97887,1.14422
20.0,1500,303.1,303.062568,0.085694,0.11095,0.98526,1.09621
20.0,2000,404.1,404.083424,0.064481,0.083487,0.98849,1.071977
