enrichment_wt_pct,h_over_x,h_to_u_exact,critical_radius_cm,critical_volume_l,uranium_mass_kg,u235_mass_kg,water_mass_kg
20.0,0,0.000000,39.228,252.8660,1254.2000,250.8400,
20.0,5,1.010209,25.904,72.8055,337.5793,67.5159,12.9375
20.0,10,2.020417,20.596,36.5979,157.8640,31.5728,12.1000
20.0,20,4.040834,17.421,22.1482,72.3880,14.4776,11.0969
20.0,50,10.102086,14.752,13.4478,25.0748,5.01496,9.6099
20.0,100,20.204171,13.880,11.2020,12.1733,2.43466,9.3308
20.0,200,40.408342,14.128,11.8125,6.9979,1.39958,10.7277
20.0,300,60.612514,14.901,13.8588,5.6433,1.12866,12.9767
20.0,500,101.020856,16.943,20.3739,5.1045,1.02090,19.5626
20.0,700,141.429198,19.462,30.8791,5.5870,1.11740,29.9765
