stage,h_to_u,keff,std,keff_2sigma,status,bulk_density_g_cm3,uranium_density_g_cm3,uo2f2_component_density_g_cm3,h2o_component_density_g_cm3,water_weight_fraction,water_moles_per_u,density_basis_region
broad,0.0000,1.10771,0.00114,1.10999,CRITICAL,6.42213435,4.96000000,6.42213435,0.00000000,0.00000000,0.00000000,hydrated_salt_linear_fit
broad,1.0000,1.11114,0.00120,1.11353,CRITICAL,6.18382311,4.64000000,6.00780310,0.17602001,0.02846459,0.50000000,hydrated_salt_linear_fit
broad,2.0000,1.11103,0.00114,1.11331,CRITICAL,5.92123325,4.32000000,5.59347185,0.32776140,0.05535357,1.00000000,hydrated_salt_linear_fit
broad,3.0000,1.11318,0.00122,1.11561,CRITICAL,5.63436476,4.00000000,5.17914060,0.45522416,0.08079423,1.50000000,hydrated_salt_linear_fit
broad,4.0000,1.10160,0.00118,1.10396,CRITICAL,4.75185377,3.28500974,4.25338183,0.49847193,0.10490052,2.00000000,appendix_a_volume_relation
broad,5.0000,1.09488,0.00118,1.09725,CRITICAL,4.33498341,2.92023895,3.78108202,0.55390138,0.12777474,2.50000000,appendix_a_volume_relation
broad,6.0000,1.08802,0.00134,1.09069,CRITICAL,4.00143978,2.62838088,3.40318854,0.59825124,0.14950900,3.00000000,appendix_a_volume_relation
broad,7.0000,1.08069,0.00126,1.08321,CRITICAL,3.72850913,2.38956052,3.09396748,0.63454165,0.17018643,3.50000000,appendix_a_volume_relation
broad,8.0000,1.07392,0.00121,1.07634,CRITICAL,3.50104540,2.19052472,2.83625888,0.66478652,0.18988229,4.00000000,appendix_a_volume_relation
broad,9.0000,1.06926,0.00124,1.07173,CRITICAL,3.30856080,2.02209643,2.61818044,0.69038036,0.20866486,4.50000000,appendix_a_volume_relation
broad,10.0000,1.05944,0.00114,1.06172,CRITICAL,3.14356285,1.87771957,2.43124342,0.71231943,0.22659621,5.00000000,appendix_a_volume_relation
broad,20.0000,0.99010,0.00104,0.99218,MARGINAL,2.24964493,1.09552160,1.41846510,0.83117983,0.36947156,10.00000000,appendix_a_volume_relation
broad,30.0000,0.92652,0.00128,0.92907,SAFE,1.88147322,0.77336320,1.00133919,0.88013403,0.46778983,15.00000000,appendix_a_volume_relation
broad,40.0000,0.87366,0.00115,0.87596,SAFE,1.68063068,0.59762153,0.77379148,0.90683920,0.53958267,20.00000000,appendix_a_volume_relation
broad,50.0000,0.82409,0.00108,0.82626,SAFE,1.55416644,0.48696252,0.63051184,0.92365460,0.59430868,25.00000000,appendix_a_volume_relation
refined,0.5000,1.10908,0.00127,1.11162,CRITICAL,6.30601356,4.80000000,6.21496872,0.09104483,0.01443778,0.25000000,hydrated_salt_linear_fit
refined,1.0000,1.11114,0.00120,1.11353,CRITICAL,6.18382311,4.64000000,6.00780310,0.17602001,0.02846459,0.50000000,hydrated_salt_linear_fit
refined,1.5000,1.11061,0.00120,1.11302,CRITICAL,6.05556301,4.48000000,5.80063748,0.25492553,0.04209774,0.75000000,hydrated_salt_linear_fit
refined,2.0000,1.11103,0.00114,1.11331,CRITICAL,5.92123325,4.32000000,5.59347185,0.32776140,0.05535357,1.00000000,hydrated_salt_linear_fit
refined,2.5000,1.11300,0.00126,1.11552,CRITICAL,5.78083383,4.16000000,5.38630623,0.39452761,0.06824753,1.25000000,hydrated_salt_linear_fit
refined,3.0000,1.11318,0.00122,1.11561,CRITICAL,5.63436476,4.00000000,5.17914060,0.45522416,0.08079423,1.50000000,hydrated_salt_linear_fit
refined,3.5000,1.11426,0.00121,1.11669,CRITICAL,5.48182604,3.84000000,4.97197498,0.50985106,0.09300752,1.75000000,hydrated_salt_linear_fit
refined,4.0000,1.10160,0.00118,1.10396,CRITICAL,4.75185377,3.28500974,4.25338183,0.49847193,0.10490052,2.00000000,appendix_a_volume_relation
refined,4.5000,1.09867,0.00116,1.10098,CRITICAL,4.53116588,3.09190296,4.00335004,0.52781585,0.11648566,2.25000000,appendix_a_volume_relation
refined,5.0000,1.09488,0.00118,1.09725,CRITICAL,4.33498341,2.92023895,3.78108202,0.55390138,0.12777474,2.50000000,appendix_a_volume_relation
